Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10T19:46:47.440093
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10T19:46:47.440093
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10T19:46:47.441125
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-10T19:46:47.441125
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-10T19:46:47.441125
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-10T19:46:47.441125
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-10T19:46:47.441125
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-10T19:46:47.441125
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-10T19:46:47.441125
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-10T19:46:47.441125
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-10T19:46:47.441125
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-10T19:46:47.441661
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-10T19:46:47.441661
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-10T19:46:47.441661
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-10T19:46:47.441661
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-10T19:46:47.441661
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-10T19:46:47.441661
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10T19:46:47.733648
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10T19:46:47.733648
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10T19:46:47.733648
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-10T19:46:47.733648
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-10T19:46:47.733648
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-10T19:46:47.733648
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-10T19:46:47.734148
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-10T19:46:47.734148
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-10T19:46:47.734148
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-10T19:46:47.734148
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-10T19:46:47.734148
